"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.9519,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6175e-05,-0.95198,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015241,-0.95205,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022858,-0.95213,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00030482,-0.9522,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00038099,-0.95228,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00045723,-0.95236,0,-0.0762
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0005334,-0.95243,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00060958,-0.95251,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00068581,-0.95259,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00076199,-0.95266,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00083822,-0.95274,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00091439,-0.95281,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.00099063,-0.95289,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.0010668,-0.95297,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.001143,-0.95304,0,-0.0762
253.26,0.37226,-0.001799,-0.049985,-2.4977,2.4982,-0.001799,-0.049985,-2.4977,1,0.0012192,-0.95312,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0012954,-0.9532,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0013716,-0.95327,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0014478,-0.95335,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.001524,-0.95342,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0016002,-0.9535,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0016764,-0.95358,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0017526,-0.95365,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0018288,-0.95373,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.001905,-0.95381,0,-0.0762
117.08,0.45088,-0.026555,-0.066918,-3.3775,3.3783,-0.026555,-0.066918,-3.3775,1,0.0019812,-0.95388,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0020574,-0.95396,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0021336,-0.95403,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0022098,-0.95411,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.002286,-0.95419,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0023622,-0.95426,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0024384,-0.95434,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0025146,-0.95441,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0025908,-0.95449,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.002667,-0.95457,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0027432,-0.95464,0,-0.0762
73.002,0.44714,-0.055451,-0.071135,-3.8367,3.8378,-0.055451,-0.071135,-3.8367,1,0.0028194,-0.95472,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0028956,-0.9548,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0029718,-0.95487,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.003048,-0.95495,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0031242,-0.95502,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0032004,-0.9551,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0032766,-0.95518,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0033528,-0.95525,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.003429,-0.95533,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0035052,-0.95541,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0035814,-0.95548,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0036576,-0.95556,0,-0.0762
55.758,0.45447,-0.091035,-0.070574,-4.1966,4.1982,-0.091035,-0.070574,-4.1966,1,0.0037338,-0.95563,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.00381,-0.95571,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0038862,-0.95579,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0039624,-0.95586,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0040386,-0.95594,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0041148,-0.95601,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.004191,-0.95609,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0042672,-0.95617,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0043434,-0.95624,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0044196,-0.95632,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0044958,-0.9564,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.004572,-0.95647,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0046482,-0.95655,0,-0.0762
47.147,0.46542,-0.13052,-0.066156,-4.5174,4.5198,-0.13052,-0.066156,-4.5174,1,0.0047244,-0.95662,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0048006,-0.9567,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0048768,-0.95678,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.004953,-0.95685,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0050292,-0.95693,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0051054,-0.95701,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0051816,-0.95708,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0052578,-0.95716,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.005334,-0.95723,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0054102,-0.95731,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0054864,-0.95739,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0055626,-0.95746,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0056388,-0.95754,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.005715,-0.95762,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0057912,-0.95769,0,-0.0762
41.744,0.47441,-0.17304,-0.058522,-4.8254,4.8289,-0.17304,-0.058522,-4.8254,1,0.0058674,-0.95777,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0059436,-0.95784,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0060198,-0.95792,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.006096,-0.958,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0061722,-0.95807,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0062484,-0.95815,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0063246,-0.95822,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0064008,-0.9583,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.006477,-0.95838,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0065532,-0.95845,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0066294,-0.95853,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0067056,-0.95861,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0067818,-0.95868,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.006858,-0.95876,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0069342,-0.95883,0,-0.0762
37.578,0.48024,-0.21655,-0.048082,-5.1347,5.1395,-0.21655,-0.048082,-5.1347,1,0.0070104,-0.95891,0,-0.0762
