"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.072987,0,0.17489
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6201e-05,-0.072917,0,0.17492
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.0001524,-0.072846,0,0.17494
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.0002286,-0.072776,0,0.17497
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00030481,-0.072705,0,0.175
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00038101,-0.072635,0,0.17503
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00045721,-0.072565,0,0.17506
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00053341,-0.072494,0,0.17509
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00060961,-0.072424,0,0.17512
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00068581,-0.072353,0,0.17515
684.23,0.72227,-1.8559,-0.11855,4.5062,4.8748,-1.8559,-0.11855,4.5062,1,0.00076202,-0.072283,0,0.17518
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.00083822,-0.072213,0,0.17521
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.00091442,-0.072142,0,0.17524
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.00099062,-0.072072,0,0.17527
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.0010668,-0.072001,0,0.17529
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.001143,-0.071931,0,0.17532
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.0012192,-0.071861,0,0.17535
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.0012954,-0.07179,0,0.17538
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.0013716,-0.07172,0,0.17541
331.4,0.81928,-2.3022,-0.13014,5.824,6.2639,-2.3022,-0.13014,5.824,1,0.0014478,-0.071649,0,0.17544
200.41,0.77154,-2.5262,-0.12224,6.5523,7.0234,-2.5262,-0.12224,6.5523,1,0.001524,-0.071579,0,0.17547
