X/D	        VelXexp 	Vxsim0477
5.00E-02	3.08E-02	-0.005974834
1.00E-01	2.74E-02	-0.014367699
1.50E-01	2.25E-02	-0.028414735
2.00E-01	1.61E-02	-0.042053146
2.50E-01	8.17E-03	-0.051296192
3.00E-01	-1.28E-03	-0.065775
3.50E-01	-1.23E-02	-0.07613543
4.00E-01	-2.48E-02	-0.085977649
4.50E-01	-3.88E-02	-0.095168212
5.00E-01	-5.43E-02	-0.106135927
5.50E-01	-6.98E-02	-0.113241887
6.00E-01	-8.34E-02	-0.119305132
6.50E-01	-9.53E-02	-0.125726159
7.00E-01	-1.05E-01	-0.129308113
7.50E-01	-1.14E-01	-0.132504801
8.00E-01	-1.20E-01	-0.133781788
8.50E-01	-1.25E-01	-0.134162914
9.00E-01	-1.28E-01	-0.133712583
9.50E-01	-1.30E-01	-0.131935099
1.00E+00	-1.31E-01	-0.12980894
1.05E+00	-1.31E-01	-0.127080629
1.10E+00	-1.29E-01	-0.122623179
1.15E+00	-1.27E-01	-0.118749172
1.20E+00	-1.24E-01	-0.112991225
1.25E+00	-1.20E-01	-0.108300828
1.30E+00	-1.15E-01	-0.103348841
1.35E+00	-1.09E-01	-0.098182947
1.40E+00	-1.03E-01	-0.091035762
1.45E+00	-9.67E-02	-0.085530464
1.50E+00	-9.04E-02	-0.079938907
1.55E+00	-8.39E-02	-0.072400828
1.60E+00	-7.72E-02	-0.066718874
1.65E+00	-7.03E-02	-0.061037583
1.70E+00	-6.32E-02	-0.053496523
1.75E+00	-5.61E-02	-0.047887252
1.80E+00	-4.91E-02	-0.040495695
1.85E+00	-4.21E-02	-0.035031954
1.90E+00	-3.53E-02	-0.029646358
1.95E+00	-2.85E-02	-0.022599338
2.00E+00	-2.18E-02	-0.017421523
2.05E+00	-1.52E-02	-0.01234
2.10E+00	-8.64E-03	-0.007357748
2.15E+00	-2.32E-03	-0.000872232
2.20E+00	3.67E-03	0.003872301
2.25E+00	9.32E-03	0.008514156
2.30E+00	1.46E-02	0.014543328
2.35E+00	1.96E-02	0.018945861
2.40E+00	2.43E-02	0.02465894
2.45E+00	2.86E-02	0.02882798
2.50E+00	3.26E-02	0.032899338
2.55E+00	3.66E-02	0.036874669
2.60E+00	4.11E-02	0.04202947
2.65E+00	4.61E-02	0.045788411
2.70E+00	5.16E-02	0.04945745
2.75E+00	5.75E-02	0.054211258
2.80E+00	6.39E-02	0.057674669
2.85E+00	7.07E-02	0.062162914
2.90E+00	7.81E-02	0.065452483
2.95E+00	8.59E-02	0.068743709
3.00E+00	9.41E-02	0.072181126
