TKE renorm	TKE exp
0.00062453	1.40E-03
0.00062453	1.40E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.00062453	1.41E-03
0.000624133	1.41E-03
0.000624133	1.41E-03
0.000624133	1.41E-03
0.000624133	1.41E-03
0.000624133	1.42E-03
0.000624133	1.42E-03
0.000624133	1.42E-03
0.000624133	1.42E-03
0.000623327	1.43E-03
0.000623327	1.43E-03
0.000623327	1.43E-03
0.000623327	1.44E-03
0.000623327	1.44E-03
0.000623327	1.44E-03
0.000623327	1.45E-03
0.000623327	1.45E-03
0.000622106	1.46E-03
0.000622106	1.46E-03
0.000622106	1.46E-03
0.000622106	1.47E-03
0.000622106	1.47E-03
0.000622106	1.48E-03
0.000622106	1.49E-03
0.000622106	1.49E-03
0.000620449	1.50E-03
0.000620449	1.50E-03
0.000620449	1.51E-03
0.000620449	1.51E-03
0.000620449	1.52E-03
0.000620449	1.53E-03
0.000620449	1.53E-03
0.000620449	1.54E-03
0.000618334	1.55E-03
0.000618334	1.56E-03
0.000618334	1.56E-03
0.000618334	1.57E-03
0.000618334	1.58E-03
0.000618334	1.59E-03
0.000618334	1.60E-03
0.000618334	1.60E-03
0.000615737	1.61E-03
0.000615737	1.62E-03
0.000615737	1.63E-03
0.000615737	1.64E-03
0.000615737	1.65E-03
0.000615737	1.66E-03
0.000615737	1.67E-03
0.000615737	1.68E-03
0.000612619	1.69E-03
0.000612619	1.70E-03
0.000612619	1.70E-03
0.000612619	1.71E-03
0.000612619	1.72E-03
0.000612619	1.73E-03
0.000612619	1.74E-03
0.000612619	1.75E-03
0.000608955	1.76E-03
0.000608955	1.77E-03
0.000608955	1.78E-03
0.000608955	1.79E-03
0.000608955	1.79E-03
0.000608955	1.80E-03
0.000608955	1.81E-03
0.000608955	1.82E-03
0.000604703	1.83E-03
0.000604703	1.84E-03
0.000604703	1.85E-03
0.000604703	1.86E-03
0.000604703	1.87E-03
0.000604703	1.88E-03
0.000604703	1.89E-03
0.000604703	1.89E-03
0.00059983	1.90E-03
0.00059983	1.91E-03
0.00059983	1.92E-03
0.00059983	1.93E-03
0.00059983	1.94E-03
0.00059983	1.95E-03
0.00059983	1.96E-03
0.00059983	1.97E-03
0.0005943	1.98E-03
0.0005943	1.99E-03
0.0005943	2.00E-03
0.0005943	2.00E-03
0.0005943	2.01E-03
0.0005943	2.02E-03
0.0005943	2.03E-03
0.0005943	2.04E-03
0.000588092	2.05E-03
0.000588092	2.06E-03
0.000588092	2.07E-03
0.000588092	2.08E-03
0.000588092	2.09E-03
0.000588092	2.10E-03
0.000588092	2.11E-03
0.000588092	2.12E-03
0.000581191	2.13E-03
0.000581191	2.14E-03
0.000581191	2.15E-03
0.000581191	2.16E-03
0.000581191	2.17E-03
0.000581191	2.18E-03
0.000581191	2.19E-03
0.000581191	2.20E-03
0.0005736	2.22E-03
0.0005736	2.23E-03
0.0005736	2.24E-03
0.0005736	2.25E-03
0.0005736	2.27E-03
0.0005736	2.28E-03
0.0005736	2.29E-03
0.0005736	2.31E-03
0.000565368	2.32E-03
0.000565368	2.34E-03
0.000565368	2.35E-03
0.000565368	2.37E-03
0.000565368	2.38E-03
0.000565368	2.40E-03
0.000565368	2.41E-03
0.000565368	2.43E-03
0.000556598	2.44E-03
0.000556598	2.46E-03
0.000556598	2.47E-03
0.000556598	2.49E-03
0.000556598	2.51E-03
0.000556598	2.53E-03
0.000556598	2.54E-03
0.000556598	2.56E-03
0.00054749	2.58E-03
0.00054749	2.60E-03
0.00054749	2.61E-03
0.00054749	2.63E-03
0.00054749	2.65E-03
0.00054749	2.67E-03
0.00054749	2.69E-03
0.00054749	2.71E-03
0.000538442	2.73E-03
0.000538442	2.75E-03
0.000538442	2.77E-03
0.000538442	2.79E-03
0.000538442	2.81E-03
0.000538442	2.83E-03
0.000538442	2.85E-03
0.000538442	2.87E-03
0.000530222	2.89E-03
0.000530222	2.92E-03
0.000530222	2.94E-03
0.000530222	2.96E-03
0.000530222	2.98E-03
0.000530222	3.01E-03
0.000530222	3.03E-03
0.000530222	3.05E-03
0.000524387	3.07E-03
