R/Rmax	        Vxexp005D	Vx005sim
0.00E+00	1.00E+00	1
1.00E-03	1.00E+00	1
2.00E-03	1.00E+00	1
3.00E-03	1.00E+00	1
4.00E-03	1.00E+00	1
5.00E-03	1.00E+00	1
6.00E-03	1.00E+00	1
7.00E-03	1.00E+00	1
8.00E-03	1.00E+00	1
9.00E-03	1.00E+00	0.99955466
1.00E-02	1.00E+00	0.99955466
1.10E-02	1.00E+00	0.99955466
1.20E-02	1.00E+00	0.99955466
1.30E-02	1.00E+00	0.99955466
1.40E-02	1.00E+00	0.99955466
1.50E-02	1.00E+00	0.99955466
1.60E-02	1.00E+00	0.99955466
1.70E-02	1.00E+00	0.998652392
1.80E-02	1.00E+00	0.998652392
1.90E-02	1.00E+00	0.998652392
2.00E-02	1.00E+00	0.998652392
2.10E-02	1.00E+00	0.998652392
2.20E-02	1.00E+00	0.998652392
2.30E-02	1.00E+00	0.998652392
2.40E-02	1.00E+00	0.998652392
2.50E-02	9.99E-01	0.99727995
2.60E-02	9.99E-01	0.99727995
2.70E-02	9.99E-01	0.99727995
2.80E-02	9.99E-01	0.99727995
2.90E-02	9.98E-01	0.99727995
3.00E-02	9.98E-01	0.99727995
3.10E-02	9.98E-01	0.99727995
3.20E-02	9.98E-01	0.99727995
3.30E-02	9.98E-01	0.995438991
3.40E-02	9.97E-01	0.995438991
3.50E-02	9.97E-01	0.995438991
3.60E-02	9.97E-01	0.995438991
3.70E-02	9.96E-01	0.995438991
3.80E-02	9.96E-01	0.995438991
3.90E-02	9.96E-01	0.995438991
4.00E-02	9.95E-01	0.995438991
4.10E-02	9.95E-01	0.993154348
4.20E-02	9.95E-01	0.993154348
4.30E-02	9.94E-01	0.993154348
4.40E-02	9.94E-01	0.993154348
4.50E-02	9.94E-01	0.993154348
4.60E-02	9.93E-01	0.993154348
4.70E-02	9.93E-01	0.993154348
4.80E-02	9.93E-01	0.993154348
4.90E-02	9.92E-01	0.990467408
5.00E-02	9.92E-01	0.990467408
5.10E-02	9.91E-01	0.990467408
5.20E-02	9.91E-01	0.990467408
5.30E-02	9.91E-01	0.990467408
5.40E-02	9.90E-01	0.990467408
5.50E-02	9.90E-01	0.990467408
5.60E-02	9.89E-01	0.990467408
5.70E-02	9.89E-01	0.98741625
5.80E-02	9.89E-01	0.98741625
5.90E-02	9.88E-01	0.98741625
6.00E-02	9.88E-01	0.98741625
6.10E-02	9.87E-01	0.98741625
6.20E-02	9.87E-01	0.98741625
6.30E-02	9.86E-01	0.98741625
6.40E-02	9.86E-01	0.98741625
6.50E-02	9.85E-01	0.984025707
6.60E-02	9.85E-01	0.984025707
6.70E-02	9.85E-01	0.984025707
6.80E-02	9.84E-01	0.984025707
6.90E-02	9.84E-01	0.984025707
7.00E-02	9.83E-01	0.984025707
7.10E-02	9.83E-01	0.984025707
7.20E-02	9.82E-01	0.984025707
7.30E-02	9.82E-01	0.980310678
7.40E-02	9.81E-01	0.980310678
7.50E-02	9.81E-01	0.980310678
7.60E-02	9.80E-01	0.980310678
7.70E-02	9.80E-01	0.980310678
7.80E-02	9.79E-01	0.980310678
7.90E-02	9.79E-01	0.980310678
8.00E-02	9.78E-01	0.980310678
8.10E-02	9.78E-01	0.976266197
8.20E-02	9.77E-01	0.976266197
8.30E-02	9.77E-01	0.976266197
8.40E-02	9.76E-01	0.976266197
8.50E-02	9.76E-01	0.976266197
8.60E-02	9.75E-01	0.976266197
8.70E-02	9.75E-01	0.976266197
8.80E-02	9.74E-01	0.976266197
8.90E-02	9.74E-01	0.971869087
9.00E-02	9.73E-01	0.971869087
9.10E-02	9.72E-01	0.971869087
9.20E-02	9.72E-01	0.971869087
9.30E-02	9.71E-01	0.971869087
9.40E-02	9.71E-01	0.971869087
9.50E-02	9.70E-01	0.971869087
9.60E-02	9.70E-01	0.971869087
9.70E-02	9.69E-01	0.967082924
9.80E-02	9.69E-01	0.967082924
9.90E-02	9.68E-01	0.967082924
1.00E-01	9.67E-01	0.967082924
1.01E-01	9.67E-01	0.967082924
1.02E-01	9.66E-01	0.967082924
1.03E-01	9.66E-01	0.967082924
1.04E-01	9.65E-01	0.967082924
1.05E-01	9.64E-01	0.961849766
1.06E-01	9.64E-01	0.961849766
1.07E-01	9.63E-01	0.961849766
1.08E-01	9.62E-01	0.961849766
1.09E-01	9.62E-01	0.961849766
