R/Rmax	nutexp1.25D	nut125sim
0.00E+00	4.56E-04	0.000739307
2.00E-02	4.65E-04	0.000747571
4.00E-02	4.65E-04	0.000767851
6.00E-02	4.68E-04	0.000822911
8.00E-02	5.24E-04	0.000872251
1.00E-01	6.47E-04	0.000941787
1.20E-01	8.46E-04	0.000961617
1.40E-01	1.10E-03	0.000904724
1.60E-01	1.38E-03	0.000866951
1.80E-01	1.70E-03	0.001159639
2.00E-01	2.04E-03	0.001541894
2.20E-01	2.35E-03	0.002140491
2.40E-01	2.62E-03	0.002497044
2.60E-01	2.93E-03	0.002935711
2.80E-01	3.23E-03	0.003249138
3.00E-01	3.39E-03	0.003401633
3.20E-01	3.48E-03	0.003548788
3.40E-01	3.44E-03	0.003594228
3.60E-01	3.30E-03	0.003585711
3.80E-01	3.08E-03	0.003486052
4.00E-01	2.77E-03	0.003367575
4.20E-01	2.38E-03	0.003103517
4.40E-01	1.95E-03	0.002709098
4.60E-01	1.21E-03	0.002340671
4.80E-01	4.15E-04	0.001506974
