Points_0,Points_1,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus,tau_w,,,
-0.0484638,0.0005,-212.497,11.1358,34619.5,26.4927,0.0120264,26.4634,58.2159,3.772344556,,,
-0.0454257,0.0005,-213.586,10.9635,33631.5,26.4168,0.0346657,26.4924,58.1397,3.757389111,,,58.203
-0.0424555,0.0005,-214.632,11.136,34771.2,26.3441,0.0292727,26.2701,58.0729,3.743421854,,,58.1109
-0.0395516,0.0005,-215.492,10.8665,32905.7,26.2825,0.0384249,26.3496,58.0181,3.731699961,,,58.2114
-0.0367127,0.0005,-216.551,11.0969,34989.2,26.2344,0.0266974,26.1171,57.9775,3.72267487,,,57.7171
-0.0339371,0.0005,-217.77,10.876,32429.9,26.1989,0.0319993,26.2547,57.952,3.716260126,,,58.3645
-0.0312236,0.0005,-219.134,10.9672,34921.5,26.1753,0.0235022,26.0332,57.9421,3.712378268,,,57.334
-0.0285706,0.0005,-220.7,11.0207,32660.9,26.1631,0.0207037,26.1958,57.9476,3.710944638,,,58.6178
-0.025977,0.0005,-222.379,10.7993,34250.3,26.1636,0.0204724,26.0223,57.9709,3.71227233,,,57.0189
-0.0234413,0.0005,-224.34,11.1706,33677.4,26.1781,0.0119692,26.165,58.0137,3.716639377,,,58.9263
-0.0209622,0.0005,-226.394,10.7871,33353.6,26.2063,0.00885653,26.0731,58.0751,3.723959693,,,56.8221
-0.0185385,0.0005,-228.812,11.1221,34683.3,26.2485,0.01598,26.1879,58.1545,3.73425154,,,59.1864
-0.016169,0.0005,-231.327,11.0767,33315.6,26.3053,-0.0164447,26.1446,58.2512,3.747573514,,,56.9494
-0.0138524,0.0005,-234.353,10.8376,34548.4,26.3776,0.0248883,26.3058,58.3649,3.764051944,,,59.1093
-0.0115875,0.0005,-237.37,11.5693,34907.2,26.4667,-0.0323822,26.2353,58.4957,3.783895925,,,57.6772
-0.00937328,0.0005,-241.464,10.5251,33093.2,26.5751,0.00309041,26.4684,58.6442,3.807518636,,,58.65
-0.0072085,0.0005,-244.929,12.0098,37596.4,26.7065,-0.0172,26.4932,58.8122,3.835578961,,,58.5628
-0.00509208,0.0005,-251.002,10.3091,31496.4,26.8677,-0.0350149,26.5413,59.0035,3.869304606,,,58.8042
-0.00302294,0.0005,-255.822,12.5993,40208.5,27.0697,-0.0639811,27.0273,59.2262,3.910792061,,,58.2084
-0.00100003,0.0005,-264.907,9.61949,29925,27.3714,0.0115076,26.7996,59.5391,3.971980814,,,60.8517
0.000625,-0.0126,-274.052,-0.0401385,0.000111921,0.124164,-0.209648,0.243658,0.00450785,-3.48E-06,,,56.0478
0.001875,-0.0126,-274.108,-0.616922,4.35E-14,-0.109052,-0.0769538,0.13347,2.08E-07,3.36E-11,,,
0.003125,-0.0126,-274.693,0.777088,814.702,-1.4581,0.372593,1.50495,12.3849,-0.073033451,,,
0.004375,-0.0126,-275.912,0.972183,1123.64,-1.86275,0.195551,1.87299,13.8159,-0.101762386,,,
0.005625,-0.0126,-277.146,1.40313,1946.2,-2.58576,0.196038,2.59318,16.5929,-0.163548448,,,
0.006875,-0.0126,-278.505,1.73105,2659.54,-3.02676,0.160059,3.03098,18.4201,-0.208248296,,,
0.008125,-0.0126,-279.812,2.10338,3558.7,-3.56375,0.154591,3.5671,20.3002,-0.265257351,,,
0.009375,-0.0126,-281.175,2.46688,4515.15,-3.99317,0.143808,3.99575,21.9795,-0.31704445,,,
0.010625,-0.0126,-282.521,2.85931,5630.93,-4.46498,0.140936,4.46721,23.6601,-0.376446132,,,
0.011875,-0.0126,-283.9,3.26361,6863.23,-4.89002,0.135962,4.89191,25.2747,-0.435139936,,,
0.013125,-0.0126,-285.256,3.69506,8265.78,-5.33351,0.133416,5.33518,26.8916,-0.499346358,,,
0.014375,-0.0126,-286.593,4.14579,9821.63,-5.75175,0.129382,5.7532,28.4833,-0.56455146,,,
0.015625,-0.0126,-287.857,4.62358,11566.4,-6.17386,0.126048,6.17514,30.079,-0.633794638,,,
0.016875,-0.0126,-289.016,5.12472,13496.3,-6.57609,0.12175,6.57722,31.6667,-0.704346741,,,
0.018125,-0.0126,-290.009,5.6436,15596.8,-6.97261,0.117333,6.9736,33.231,-0.777175346,,,
0.019375,-0.0126,-290.791,6.1792,17868.9,-7.3486,0.111842,7.34945,34.7721,-0.850403691,,,
0.020625,-0.0126,-291.294,6.72907,20306.1,-7.70943,0.10588,7.71016,36.2863,-0.924251999,,,
0.021875,-0.0126,-291.461,7.28961,22895,-8.04568,0.0989858,8.04629,37.7673,-0.997138301,,,
0.023125,-0.0126,-291.219,7.85826,25624.6,-8.35839,0.0915225,8.35889,39.2125,-1.0687446,,,
0.024375,-0.0126,-290.506,8.43083,28474,-8.64112,0.0832898,8.64152,40.6156,-1.137708069,,,
0.025625,-0.0126,-289.254,9.00421,31425.6,-8.89308,0.0745282,8.8934,41.9735,-1.203414645,,,
0.026875,-0.0126,-287.402,9.57417,34453.9,-9.10984,0.0651903,9.11007,43.2811,-1.264702764,,,
0.028125,-0.0126,-284.898,10.1373,37535.8,-9.29021,0.0554632,9.29037,44.5352,-1.320876163,,,
0.029375,-0.0126,-281.699,10.6896,40643,-9.43138,0.0453873,9.43149,45.7319,-1.370997523,,,
0.030625,-0.0126,-277.773,11.2277,43749.1,-9.53253,0.0351238,9.53259,46.8684,-1.414448716,,,
0.031875,-0.0126,-273.103,11.748,46824.7,-9.59223,0.0247276,9.59227,47.942,-1.45054902,,,
0.033125,-0.0126,-267.686,12.2475,49842.4,-9.61028,0.0143315,9.6103,48.9504,-1.478841371,,,
0.034375,-0.0126,-261.532,12.723,52773.8,-9.58634,0.00399633,9.58634,49.8918,-1.498900447,,,
0.035625,-0.0126,-254.664,13.1721,55592.5,-9.52081,-0.00619398,9.52082,50.7647,-1.510467358,,,
0.036875,-0.0126,-247.116,13.5923,58273,-9.41419,-0.0161931,9.4142,51.568,-1.513358567,,,
0.038125,-0.0126,-238.932,13.9815,60791.9,-9.26743,-0.025951,9.26746,52.3009,-1.50752092,,,
0.039375,-0.0126,-230.166,14.3379,63128.2,-9.08164,-0.0354386,9.08171,52.9629,-1.492986926,,,
0.040625,-0.0126,-220.878,14.6602,65263.9,-8.85828,-0.0446279,8.8584,53.5543,-1.469916882,,,
