Block Name,Point ID,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,0,0.000269654,9,-0.0484638,0.0005,0,0.0484664,-212.94,11.0903,34326.6,26.4927,0.0296466,26.4927,58.2159
region,1,0.000269058,9,-0.0454257,0.0005,0,0.0454285,-214.212,11.0613,34192,26.4168,0.0321705,26.4168,58.1397
region,2,0.000268471,9,-0.0424555,0.0005,0,0.0424584,-215.111,11.0359,34074.2,26.3441,0.0311842,26.3442,58.0729
region,3,0.000267951,9,-0.0395516,0.0005,0,0.0395548,-215.981,11.0151,33977.9,26.2825,0.0296673,26.2826,58.0181
region,4,0.000267496,9,-0.0367127,0.0005,0,0.0367161,-217.025,10.9996,33906.5,26.2344,0.0275252,26.2344,57.9775
region,5,0.000267114,9,-0.0339371,0.0005,0,0.0339408,-218.257,10.99,33861.9,26.1989,0.0249629,26.1989,57.952
region,6,0.000266808,9,-0.0312236,0.0005,0,0.0312276,-219.666,10.9862,33844.5,26.1753,0.0221783,26.1753,57.9421
region,7,0.000266578,9,-0.0285706,0.0005,0,0.028575,-221.258,10.9883,33854.2,26.1631,0.0190896,26.1631,57.9476
region,8,0.00026644,9,-0.025977,0.0005,0,0.0259818,-223.042,10.9972,33895.1,26.1636,0.0155014,26.1636,57.9709
region,9,0.000266403,9,-0.0234413,0.0005,0,0.0234466,-225.021,11.0134,33970.1,26.1781,0.0114805,26.1781,58.0137
region,10,0.000266457,9,-0.0209622,0.0005,0,0.0209682,-227.208,11.0367,34078.2,26.2063,0.00718466,26.2063,58.0751
region,11,0.00026659,9,-0.0185385,0.0005,0,0.0185452,-229.625,11.0669,34218.2,26.2485,0.00264276,26.2485,58.1545
region,12,0.00026679,9,-0.016169,0.0005,0,0.0161767,-232.299,11.1037,34389.2,26.3053,-0.00219963,26.3053,58.2512
region,13,0.000267044,9,-0.0138524,0.0005,0,0.0138614,-235.262,11.1471,34591,26.3776,-0.00746167,26.3776,58.3649
region,14,0.000267339,9,-0.0115875,0.0005,0,0.0115983,-238.558,11.1971,34824,26.4667,-0.0133499,26.4667,58.4957
region,15,0.000267665,9,-0.00937328,0.0005,0,0.0093866,-242.245,11.254,35089.9,26.5751,-0.0202249,26.5751,58.6442
region,16,0.00026801,9,-0.0072085,0.0005,0,0.00722582,-246.409,11.3186,35392.3,26.7065,-0.0287705,26.7065,58.8122
region,17,0.00026837,9,-0.00509208,0.0005,0,0.00511657,-251.179,11.3923,35738.8,26.8677,-0.0404351,26.8677,59.0035
region,18,0.00026878,9,-0.00302294,0.0005,0,0.00306401,-256.776,11.4785,36145.1,27.0697,-0.0590082,27.0697,59.2262
region,19,0.000270285,9,-0.00100003,0.0005,0,0.00111806,-263.448,11.6001,36721.1,27.3714,-0.0977419,27.3716,59.5391
