Block Name,Point ID,vtkOriginalCellIds,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,0,1210,0.000366639,9,0.0505,-0.0123,0,0.0519763,-136.616,15.958,74028.9,-5.95747,-0.106985,5.95844,55.8622
region,1,1272,0.00500762,9,0.0505,-0.0117017,0,0.051838,-138.177,41.8094,37203.8,-3.94766,-0.407186,3.9686,0
region,2,1335,0.00620475,9,0.0505,-0.011305,0,0.0517499,-141.41,45.0215,34815.3,-3.54554,-0.515316,3.58279,0
region,3,1399,0.00722112,9,0.0505,-0.0109083,0,0.0516647,-142.635,48.2739,34392.7,-3.07022,-0.668116,3.14207,0
region,4,1464,0.00805908,9,0.0505,-0.0105117,0,0.0515824,-143.248,51.4962,35067.7,-2.53276,-0.822025,2.66282,0
region,5,1530,0.00873789,9,0.0505,-0.010115,0,0.051503,-143.91,54.6639,36445.1,-1.93735,-0.972752,2.16785,0
region,6,1597,0.00928004,9,0.0505,-0.00971833,0,0.0514266,-144.552,57.758,38310.8,-1.28575,-1.12315,1.70723,0
region,7,1665,0.00970617,9,0.0505,-0.00932167,0,0.0513531,-145.121,60.7569,40531.7,-0.578724,-1.27388,1.39917,0
region,8,1734,0.0100334,9,0.0505,-0.008925,0,0.0512826,-145.628,63.6363,43015,0.183455,-1.42483,1.43659,0
region,9,1804,0.0102752,9,0.0505,-0.00852833,0,0.0512151,-146.085,66.3696,45689.3,1.00076,-1.57598,1.86687,0
region,10,1875,0.0104418,9,0.0505,-0.00813167,0,0.0511505,-146.496,68.9281,48494.1,1.87332,-1.72732,2.54813,0
region,11,1947,0.0105411,9,0.0505,-0.007735,0,0.0510889,-146.861,71.2812,51374.3,2.80138,-1.87882,3.37309,0
region,12,2020,0.0105787,9,0.0505,-0.00733833,0,0.0510304,-147.178,73.3971,54277.1,3.78536,-2.03035,4.29549,0
region,13,2094,0.0105589,9,0.0505,-0.00694167,0,0.0509749,-147.446,75.2422,57148.6,4.82575,-2.18175,5.29603,0
region,14,2169,0.0104849,9,0.0505,-0.006545,0,0.0509224,-147.661,76.7815,59932.3,5.92322,-2.33278,6.36604,0
region,15,2245,0.0103592,9,0.0505,-0.00614833,0,0.0508729,-147.82,77.9782,62566.6,7.0785,-2.48315,7.50141,0
region,16,2322,0.0101838,9,0.0505,-0.00575167,0,0.0508265,-147.92,78.7934,64983.2,8.29237,-2.63247,8.70019,0
region,17,2400,0.00996065,9,0.0505,-0.005355,0,0.0507831,-147.957,79.186,67104.6,9.56558,-2.78026,9.96144,0
region,18,2479,0.00969136,9,0.0505,-0.00495833,0,0.0507428,-147.93,79.1123,68842.6,10.8988,-2.92596,11.2847,0
