y/h,x+1,x+4,x+6,x+10,x-4,,,,
0.1,-0.008,-0.171,0.147,0.418,,,,,
0.15,-0.017,-0.154,0.169,0.433,,,,,
0.2,-0.027,-0.134,0.188,0.447,,,,,
0.3,-0.035,-0.057,0.248,0.471,,,,,
0.4,-0.035,0.052,0.306,0.496,,,,,
0.5,-0.035,0.169,0.369,0.526,,,,,
0.6,-0.027,0.279,0.435,0.56,,,,,
0.7,-0.005,0.381,0.501,0.596,,,,,
0.8,0.081,0.473,0.569,0.638,,,,,
0.9,0.292,0.568,0.632,0.676,,,,,
1,0.519,0.656,0.686,0.712,,,,,
1.1,0.704,0.73,0.73,0.745,0.657,,,,
1.15,0.74,0.754,0.747,0.758,0.696,,,,
1.2,0.762,0.778,0.763,0.772,0.719,,,,
1.3,0.793,0.811,0.794,0.798,0.76,,,,
1.4,0.827,0.835,0.815,0.819,0.79,,,,
1.5,0.851,0.856,0.834,0.839,0.818,,,,
1.7,0.891,0.895,0.869,0.871,0.87,,,,
2,0.942,0.94,0.915,0.908,0.926,,,,
2.4,0.99,0.978,0.949,0.929,0.982,,,,
2.8,1.009,0.986,0.954,0.933,1.003,,,,
3.2,1.003,0.984,0.956,0.937,1.003,,,,
3.6,1.002,0.985,0.959,0.939,1,,,,
4,1,0.985,0.961,0.94,1.001,,,,
5,0.997,0.983,0.963,0.944,1.001,,,,
6,0.994,0.98,0.965,0.947,1,,,,
7.5,0.993,0.98,0.969,0.949,1.001,,,,
8.2,0.919,0.892,0.87,0.827,0.943,,,,
,,,,,,,,,
