Points_0,Points_1,vel_0
0.000625,-0.0123,0.124164
0.001875,-0.0123,-0.109052
0.000625,-0.0117017,-0.185693
0.003125,-0.0123,-1.4581
0.001875,-0.0117017,-0.666237
0.000625,-0.011305,-0.27558
0.004375,-0.0123,-1.86275
0.003125,-0.0117017,-1.37275
0.001875,-0.011305,-0.757793
0.000625,-0.0109083,-0.322781
0.005625,-0.0123,-2.58576
0.004375,-0.0117017,-1.77061
0.003125,-0.011305,-1.31044
0.001875,-0.0109083,-0.793696
0.000625,-0.0105117,-0.341218
0.006875,-0.0123,-3.02676
0.005625,-0.0117017,-2.27131
0.004375,-0.011305,-1.71064
0.003125,-0.0109083,-1.2449
0.001875,-0.0105117,-0.797442
0.000625,-0.010115,-0.343707
0.008125,-0.0123,-3.56375
0.006875,-0.0117017,-2.67802
0.005625,-0.011305,-2.15471
0.004375,-0.0109083,-1.63597
0.003125,-0.0105117,-1.17648
0.001875,-0.010115,-0.780668
0.000625,-0.00971833,-0.336999
0.009375,-0.0123,-3.99317
0.008125,-0.0117017,-3.09615
0.006875,-0.011305,-2.54539
0.005625,-0.0109083,-2.03757
0.004375,-0.0105117,-1.54999
0.003125,-0.010115,-1.10444
0.001875,-0.00971833,-0.750067
0.000625,-0.00932167,-0.324559
0.010625,-0.0123,-4.46498
0.009375,-0.0117017,-3.48032
0.008125,-0.011305,-2.93535
0.006875,-0.0109083,-2.40669
0.005625,-0.0105117,-1.91631
0.004375,-0.010115,-1.4554
0.003125,-0.00971833,-1.02848
0.001875,-0.00932167,-0.7097
0.000625,-0.008925,-0.308366
0.011875,-0.0123,-4.89002
0.010625,-0.0117017,-3.86734
0.009375,-0.011305,-3.30414
0.008125,-0.0109083,-2.77125
0.006875,-0.0105117,-2.26161
0.005625,-0.010115,-1.79012
0.004375,-0.00971833,-1.35375
0.003125,-0.00932167,-0.948775
0.001875,-0.008925,-0.662099
0.000625,-0.00852833,-0.289763
0.013125,-0.0123,-5.33351
0.011875,-0.0117017,-4.24025
0.010625,-0.011305,-3.67099
0.009375,-0.0109083,-3.1214
0.008125,-0.0105117,-2.60181
0.006875,-0.010115,-2.11069
0.005625,-0.00971833,-1.65886
0.004375,-0.00932167,-1.24611
0.003125,-0.008925,-0.865598
0.001875,-0.00852833,-0.608887
0.000625,-0.00813167,-0.269432
0.014375,-0.0123,-5.75175
0.013125,-0.0117017,-4.6126
0.011875,-0.011305,-4.02881
0.010625,-0.0109083,-3.46833
0.009375,-0.0105117,-2.93169
0.008125,-0.010115,-2.42685
0.006875,-0.00971833,-1.95435
0.005625,-0.00932167,-1.52267
0.004375,-0.008925,-1.13331
0.003125,-0.00852833,-0.779241
0.001875,-0.00813167,-0.551102
0.000625,-0.007735,-0.248003
-0.0484638,0.0005,26.4634
0.015625,-0.0123,-6.17386
0.014375,-0.0117017,-4.97557
0.013125,-0.011305,-4.38411
0.011875,-0.0109083,-3.80897
0.010625,-0.0105117,-3.25846
0.009375,-0.010115,-2.73553
0.008125,-0.00971833,-2.24656
0.006875,-0.00932167,-1.79301
0.005625,-0.008925,-1.38189
0.004375,-0.00852833,-1.016
0.003125,-0.00813167,-0.689945
0.001875,-0.007735,-0.489398
0.000625,-0.00733833,-0.225228
-0.0454257,0.0005,26.4924
-0.0484638,0.0015238,31.9743
0.016875,-0.0123,-6.57609
0.015625,-0.0117017,-5.33339
0.014375,-0.011305,-4.73249
0.013125,-0.0109083,-4.14664
0.011875,-0.0105117,-3.58064
0.010625,-0.010115,-3.04171
0.009375,-0.00971833,-2.53344
0.008125,-0.00932167,-2.06129
0.006875,-0.008925,-1.6271
0.005625,-0.00852833,-1.23693
0.004375,-0.00813167,-0.894713
0.003125,-0.007735,-0.597886
0.001875,-0.00733833,-0.424145
0.000625,-0.00694167,-0.201998
-0.0424555,0.0005,26.2701
-0.0454257,0.0015238,32.1871
-0.0484638,0.00259581,34.2993
0.018125,-0.0123,-6.97261
0.016875,-0.0117017,-5.68006
0.015625,-0.011305,-5.07505
0.014375,-0.0109083,-4.47871
0.013125,-0.0105117,-3.89997
0.011875,-0.010115,-3.3445
0.010625,-0.00971833,-2.81857
0.009375,-0.00932167,-2.32597
0.008125,-0.008925,-1.87149
0.006875,-0.00852833,-1.45709
0.005625,-0.00813167,-1.08822
0.004375,-0.007735,-0.769887
0.003125,-0.00733833,-0.503151
0.001875,-0.00694167,-0.355491
0.000625,-0.006545,-0.176876
-0.0395516,0.0005,26.3496
-0.0424555,0.0015238,32.1376
-0.0454257,0.00259581,34.2948
-0.0484638,0.00371717,36.0318
0.019375,-0.0123,-7.3486
0.018125,-0.0117017,-6.01561
0.016875,-0.011305,-5.40789
0.015625,-0.0109083,-4.80487
0.014375,-0.0105117,-4.21448
0.013125,-0.010115,-3.64472
0.011875,-0.00971833,-3.10121
0.010625,-0.00932167,-2.58962
0.009375,-0.008925,-2.11368
0.008125,-0.00852833,-1.67762
0.006875,-0.00813167,-1.28342
0.005625,-0.007735,-0.936169
0.004375,-0.00733833,-0.641865
0.003125,-0.00694167,-0.405749
0.001875,-0.006545,-0.283385
0.000625,-0.00614833,-0.151521
-0.0367127,0.0005,26.1171
-0.0395516,0.0015238,32.3345
-0.0424555,0.00259581,34.3489
-0.0454257,0.00371717,36.017
-0.0484638,0.00488893,37.3907
0.020625,-0.0123,-7.70943
0.019375,-0.0117017,-6.33529
0.018125,-0.011305,-5.72959
0.016875,-0.0109083,-5.12211
0.015625,-0.0105117,-4.5232
0.014375,-0.010115,-3.9406
0.013125,-0.00971833,-3.38155
0.011875,-0.00932167,-2.85145
0.010625,-0.008925,-2.35548
0.009375,-0.00852833,-1.89715
0.008125,-0.00813167,-1.48019
0.006875,-0.007735,-1.10658
0.005625,-0.00733833,-0.781202
0.004375,-0.00694167,-0.51092
0.003125,-0.006545,-0.305567
0.001875,-0.00614833,-0.207629
0.000625,-0.00575167,-0.12416
-0.0339371,0.0005,26.2547
-0.0367127,0.0015238,32.2784
-0.0395516,0.00259581,34.3476
-0.0424555,0.00371717,36.0615
-0.0454257,0.00488893,37.3887
-0.0484638,0.006112,38.5173
0.021875,-0.0123,-8.04568
0.020625,-0.0117017,-6.63742
0.019375,-0.011305,-6.03649
0.018125,-0.0109083,-5.42839
0.016875,-0.0105117,-4.82343
0.015625,-0.010115,-4.23079
0.014375,-0.00971833,-3.65783
0.013125,-0.00932167,-3.11115
0.011875,-0.008925,-2.5959
0.010625,-0.00852833,-2.11676
0.009375,-0.00813167,-1.67693
0.008125,-0.007735,-1.2797
0.006875,-0.00733833,-0.927026
0.005625,-0.00694167,-0.623719
0.004375,-0.006545,-0.37726
0.003125,-0.00614833,-0.202426
0.001875,-0.00575167,-0.127861
0.000625,-0.005355,-0.093508
-0.0312236,0.0005,26.0332
-0.0339371,0.0015238,32.4595
-0.0367127,0.00259581,34.4169
-0.0395516,0.00371717,36.0513
-0.0424555,0.00488893,37.4147
-0.0454257,0.006112,38.5217
-0.0484638,0.00738718,39.4853
0.023125,-0.0123,-8.35839
0.021875,-0.0117017,-6.91788
0.020625,-0.011305,-6.32618
0.019375,-0.0109083,-5.72052
0.018125,-0.0105117,-5.1129
0.016875,-0.010115,-4.51273
0.015625,-0.00971833,-3.92841
0.014375,-0.00932167,-3.36688
0.013125,-0.008925,-2.83423
0.011875,-0.00852833,-2.33525
0.010625,-0.00813167,-1.87408
0.009375,-0.007735,-1.45358
0.008125,-0.00733833,-1.07665
0.006875,-0.00694167,-0.745231
0.005625,-0.006545,-0.464121
0.004375,-0.00614833,-0.241039
0.003125,-0.00575167,-0.0959833
0.001875,-0.005355,-0.0436396
0.000625,-0.00495833,-0.0673721
-0.0285706,0.0005,26.1958
-0.0312236,0.0015238,32.4278
-0.0339371,0.00259581,34.4217
-0.0367127,0.00371717,36.1054
-0.0395516,0.00488893,37.4192
-0.0424555,0.006112,38.5387
-0.0454257,0.00738718,39.4918
-0.0484638,0.00871511,40.338
